City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
315,Sedam,IN,74.66,overcast clouds,17.1773,77.2824,Gulbarga Guest House
317,Khambhat,IN,79.27,clear sky,22.3,72.6167,Anand
323,Pemba,MZ,75.9,few clouds,-12.974,40.5178,Guesthouse Samotina
327,Bandarbeyla,SO,78.48,overcast clouds,9.4942,50.8122,JABIR HOTEL
332,Charters Towers,AU,74.55,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
334,Kinablangan,PH,78.31,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
335,Valls,ES,70.95,broken clouds,41.2861,1.2499,FELIX HOTEL
346,Bhadasar,IN,77.92,clear sky,28.2833,74.3167,OMPRAKASH JAKHAR
352,Cedar City,US,73.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
356,Maragogi,BR,75.27,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
